Date,ChangingRate,Company,Anomaly
2013-09-16,-0.0236008426725,AAPL,0.0
2013-09-17,0.01643004502,AAPL,0.0
2013-09-18,0.0032385012516,AAPL,0.0
2013-09-19,0.00339915648143,AAPL,0.0
2013-09-20,-0.0221547807519,AAPL,0.0
2013-09-23,-0.011005817309,AAPL,0.0
2013-09-24,-0.0116796090094,AAPL,0.0
2013-09-25,-0.0156786125324,AAPL,0.0
2013-09-26,0.000452623440026,AAPL,0.0
2013-09-27,-0.00212902563855,AAPL,0.0
2013-09-30,-0.00104774851994,AAPL,0.0
2013-10-01,0.0198767233322,AAPL,0.0
2013-10-02,0.00809251456097,AAPL,0.0
2013-10-03,-0.0144747907467,AAPL,0.0
2013-10-04,-0.00171532264234,AAPL,0.0
2013-10-07,0.00244582797332,AAPL,0.0
2013-10-08,-0.0183696913074,AAPL,0.0
2013-10-09,0.00402362800522,AAPL,0.0
2013-10-10,-0.00341933176354,AAPL,0.0
2013-10-11,0.0119509558718,AAPL,0.0
2013-10-14,0.0126777981093,AAPL,0.0
2013-10-15,0.00235162898536,AAPL,0.0
2013-10-16,0.000639000384505,AAPL,0.0
2013-10-17,0.00904034377648,AAPL,0.0
2013-10-18,0.00573131482547,AAPL,0.0
2013-10-21,0.0187389137089,AAPL,0.0
2013-10-22,-0.0124238061374,AAPL,0.0
2013-10-23,0.0114835872261,AAPL,0.0
2013-10-24,0.01316192,AAPL,0.0
2013-10-25,-0.0100880131584,AAPL,0.0
2013-10-28,0.00158782137578,AAPL,0.0
2013-10-29,-0.036530073926,AAPL,1.0
2013-10-30,0.0101807216686,AAPL,0.0
2013-10-31,-0.004381,AAPL,0.0
2013-11-01,-0.00761421309626,AAPL,0.0
2013-11-04,0.0108424641849,AAPL,0.0
2013-11-05,0.00165843336914,AAPL,0.0
2013-11-06,-0.00616232379755,AAPL,0.0
2013-11-07,-0.0136456211483,AAPL,0.0
2013-11-08,0.0116211317291,AAPL,0.0
2013-11-11,-0.00180770398735,AAPL,0.0
